                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3734,                 5.0617,                 1.6253,                0.03388,                0.05714,                0.01373,                0.00313,                 1.9507,                 5.0061,                 1.5912,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.2306,                 3.9807,                 1.5653,                0.32318,                0.33095,                0.21115,                0.09095,                 1.8538,                 3.8317,                 1.5293,               0.086376,              0.0013763,              0.0013763
                      2,                 1.9224,                 2.7784,                 1.3943,                0.68398,                0.40222,                0.33972,                0.16358,                 1.6841,                 3.1228,                 1.4536,               0.078921,              0.0019205,              0.0019205
                      3,                 1.8138,                 2.1278,                 1.3367,                0.62493,                0.43382,                0.43915,                0.21562,                 1.7273,                 2.3248,                 1.5339,               0.071333,              0.0023328,              0.0023328
                      4,                 1.7653,                 1.7017,                 1.2797,                0.69039,                0.50327,                0.53176,                0.26138,                 1.6957,                 2.1663,                 1.5155,               0.063613,               0.002613,               0.002613
                      5,                 1.6772,                 1.4676,                 1.2447,                0.66629,                0.65523,                 0.6458,                0.30857,                 1.6242,                 1.8475,                   1.41,               0.055761,              0.0027612,              0.0027612
                      6,                 1.5864,                 1.3569,                   1.18,                0.68243,                0.73518,                 0.6676,                 0.3418,                 1.5777,                 1.9184,                 1.3518,               0.047778,              0.0027775,              0.0027775
                      7,                 1.6041,                 1.2823,                 1.2009,                0.69558,                0.66401,                 0.7161,                0.39465,                 1.4355,                 1.4379,                  1.247,               0.039662,              0.0026617,              0.0026617
                      8,                 1.5531,                 1.2618,                 1.1591,                0.66437,                0.70967,                0.71258,                0.37737,                 1.4546,                 1.3843,                 1.2464,               0.031414,               0.002414,               0.002414
                      9,                 1.5074,                 1.1361,                 1.1396,                 0.6957,                0.71358,                0.72378,                0.41227,                 1.4056,                 1.2874,                 1.2211,               0.023034,              0.0020343,              0.0020343
                     10,                 1.5524,                 1.1517,                 1.1447,                 0.6474,                0.77482,                0.76628,                0.41969,                 1.4095,                 1.2397,                 1.2474,               0.014522,              0.0015225,              0.0015225
                     11,                  1.459,                 1.0482,                 1.1034,                0.66846,                0.78062,                0.78484,                0.43421,                 1.3865,                 1.1959,                 1.2183,              0.0058788,             0.00087875,             0.00087875
